,author,title,description,href
0,jaytaph,gosub-browser,A html5 tokenizer / parser that hopefully grow up to be a browser,https://github.com/jaytaph/gosub-browser
1,OpenBMB,ChatDev,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration),https://github.com/OpenBMB/ChatDev
2,CorentinJ,Real-Time-Voice-Cloning,Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/CorentinJ/Real-Time-Voice-Cloning
3,jwasham,coding-interview-university,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university
4,ananthakumaran,paisa,Paisa â€“ Personal Finance Manager. demo:,https://github.com/ananthakumaran/paisa
5,krishnaik06,The-Grand-Complete-Data-Science-Materials,/,https://github.com/krishnaik06/The-Grand-Complete-Data-Science-Materials
6,TheAlgorithms,Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python
7,donnemartin,system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer
8,harness,gitness,"Gitness is an Open Source developer platform with Source Control management, Continuous Integration and Continuous Delivery.",https://github.com/harness/gitness
9,dvlab-research,LongLoRA,"Efficient long-context fine-tuning, supervised fine-tuning, LongQA dataset.",https://github.com/dvlab-research/LongLoRA
10,josephmisiti,awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",https://github.com/josephmisiti/awesome-machine-learning
11,opentofu,opentofu,OpenTofu lets you declaratively manage your cloud infrastructure.,https://github.com/opentofu/opentofu
12,Unity-Technologies,TermsOfService,Current and prior versions of the terms that apply to your use of the Unity Editor software.,https://github.com/Unity-Technologies/TermsOfService
13,ReVanced,revanced-manager,ğŸ’Š Application to use ReVanced on Android,https://github.com/ReVanced/revanced-manager
14,kunal-kushwaha,DSA-Bootcamp-Java,"This repository consists of the code samples, assignments, and notes for the Java data structures & algorithms + interview preparation bootcamp of WeMakeDevs.",https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
15,PowerShell,PowerShell,PowerShell for every system!,https://github.com/PowerShell/PowerShell
16,nlpxucan,WizardLM,"Family of instruction-following LLMs powered by Evol-Instruct: WizardLM, WizardCoder and WizardMath",https://github.com/nlpxucan/WizardLM
17,public-apis,public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis
18,dgtlmoon,changedetection.io,"The best and simplest free open source website change detection, restock monitor and notification service. Restock Monitor, change detection. Designed for simplicity - Simply monitor which websites had a text change for free. Free Open source web page change detection, Website defacement monitoring, Price change and Price Drop notification",https://github.com/dgtlmoon/changedetection.io
19,AntonOsika,gpt-engineer,"Specify what you want it to build, the AI asks for clarification, and then builds it.",https://github.com/AntonOsika/gpt-engineer
20,hehonghui,awesome-english-ebooks,"ç»æµå­¦äºº(å«éŸ³é¢‘)ã€çº½çº¦å®¢ã€å«æŠ¥ã€è¿çº¿ã€å¤§è¥¿æ´‹æœˆåˆŠç­‰è‹±è¯­æ‚å¿—å…è´¹ä¸‹è½½,æ”¯æŒepubã€mobiã€pdfæ ¼å¼, æ¯å‘¨æ›´æ–°",https://github.com/hehonghui/awesome-english-ebooks
21,qmk,qmk_firmware,Open-source keyboard firmware for Atmel AVR and Arm USB families,https://github.com/qmk/qmk_firmware
22,ChenyangSi,FreeU,FreeU: Free Lunch in Diffusion U-Net,https://github.com/ChenyangSi/FreeU
23,google-research,tuning_playbook,A playbook for systematically maximizing the performance of deep learning models.,https://github.com/google-research/tuning_playbook
24,SlejmUr,PayCheck3,PayDay 3 Server Emulator Attempt,https://github.com/SlejmUr/PayCheck3
